[38;5;127mlibs[0m/[38;5;172mnvidia-cuda[0m/[38;5;67m11.2.0[0m/[38;5;68mbin[0m
 |
 [0;32mOK[0m
Wed Apr  3 10:20:12 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.154.05             Driver Version: 535.154.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off | 00000000:49:00.0 Off |                    0 |
| N/A   30C    P0              34W / 250W |      0MiB / 40960MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Sizes:
Training
(2091200, 34)
Testing
(522800, 34)
Validation
(290000, 34)
Device: cuda
Epoch 1/6000, Train Loss: 0.693047285079956, Test Loss: 0.6919096112251282
Epoch 2/6000, Train Loss: 0.6919252872467041, Test Loss: 0.6901182532310486
Epoch 3/6000, Train Loss: 0.6901223659515381, Test Loss: 0.6867895722389221
Epoch 4/6000, Train Loss: 0.6867870092391968, Test Loss: 0.6805300116539001
Epoch 5/6000, Train Loss: 0.6805071234703064, Test Loss: 0.6708226203918457
Epoch 6/6000, Train Loss: 0.6707552671432495, Test Loss: 0.6603003740310669
Epoch 7/6000, Train Loss: 0.6601350903511047, Test Loss: 0.6751295924186707
Epoch 8/6000, Train Loss: 0.6749556660652161, Test Loss: 0.67231285572052
Epoch 9/6000, Train Loss: 0.672049880027771, Test Loss: 0.6504946947097778
Epoch 10/6000, Train Loss: 0.6501363515853882, Test Loss: 0.6593778133392334
Epoch 11/6000, Train Loss: 0.6590734124183655, Test Loss: 0.6536105275154114
Epoch 12/6000, Train Loss: 0.6532641053199768, Test Loss: 0.6448173522949219
Epoch 13/6000, Train Loss: 0.6444301009178162, Test Loss: 0.6518962979316711
Epoch 14/6000, Train Loss: 0.6515472531318665, Test Loss: 0.6443201303482056
Epoch 15/6000, Train Loss: 0.6439512968063354, Test Loss: 0.6413581967353821
Epoch 16/6000, Train Loss: 0.6409593224525452, Test Loss: 0.6448806524276733
Epoch 17/6000, Train Loss: 0.6444895267486572, Test Loss: 0.6402896642684937
Epoch 18/6000, Train Loss: 0.6398966908454895, Test Loss: 0.6361586451530457
Epoch 19/6000, Train Loss: 0.635769248008728, Test Loss: 0.6384735107421875
Epoch 20/6000, Train Loss: 0.6380990743637085, Test Loss: 0.6352152228355408
Epoch 21/6000, Train Loss: 0.6348363757133484, Test Loss: 0.6311566233634949
Epoch 22/6000, Train Loss: 0.6307738423347473, Test Loss: 0.6324553489685059
Epoch 23/6000, Train Loss: 0.6320925354957581, Test Loss: 0.6298878192901611
Epoch 24/6000, Train Loss: 0.6295346617698669, Test Loss: 0.6265127658843994
Epoch 25/6000, Train Loss: 0.6261925101280212, Test Loss: 0.627815306186676
Epoch 26/6000, Train Loss: 0.6275602579116821, Test Loss: 0.6246362328529358
Epoch 27/6000, Train Loss: 0.6243947744369507, Test Loss: 0.6232988238334656
Epoch 28/6000, Train Loss: 0.6230192184448242, Test Loss: 0.6236591935157776
Epoch 29/6000, Train Loss: 0.6233733892440796, Test Loss: 0.6203851699829102
Epoch 30/6000, Train Loss: 0.6201668381690979, Test Loss: 0.620915412902832
Epoch 31/6000, Train Loss: 0.620762050151825, Test Loss: 0.6191887855529785
Epoch 32/6000, Train Loss: 0.6190259456634521, Test Loss: 0.6181139945983887
Epoch 33/6000, Train Loss: 0.6178802847862244, Test Loss: 0.6181795597076416
Epoch 34/6000, Train Loss: 0.6179139614105225, Test Loss: 0.6159513592720032
Epoch 35/6000, Train Loss: 0.6157324314117432, Test Loss: 0.6165288090705872
Epoch 36/6000, Train Loss: 0.6163197755813599, Test Loss: 0.6144239902496338
Epoch 37/6000, Train Loss: 0.614180862903595, Test Loss: 0.6146861910820007
Epoch 38/6000, Train Loss: 0.6143844127655029, Test Loss: 0.6129941940307617
Epoch 39/6000, Train Loss: 0.6127064824104309, Test Loss: 0.6126749515533447
Epoch 40/6000, Train Loss: 0.6124172806739807, Test Loss: 0.6113163232803345
Epoch 41/6000, Train Loss: 0.6110461950302124, Test Loss: 0.6108769774436951
Epoch 42/6000, Train Loss: 0.6105599403381348, Test Loss: 0.6095718145370483
Epoch 43/6000, Train Loss: 0.6092612147331238, Test Loss: 0.6090790629386902
Epoch 44/6000, Train Loss: 0.6087868809700012, Test Loss: 0.6076294183731079
Epoch 45/6000, Train Loss: 0.607317328453064, Test Loss: 0.6073839664459229
Epoch 46/6000, Train Loss: 0.6070373058319092, Test Loss: 0.6057551503181458
Epoch 47/6000, Train Loss: 0.6054130792617798, Test Loss: 0.6053834557533264
Epoch 48/6000, Train Loss: 0.6050417423248291, Test Loss: 0.6041203737258911
Epoch 49/6000, Train Loss: 0.60374915599823, Test Loss: 0.6029389500617981
Epoch 50/6000, Train Loss: 0.602571427822113, Test Loss: 0.6024054884910583
Epoch 51/6000, Train Loss: 0.6020734310150146, Test Loss: 0.6009894013404846
Epoch 52/6000, Train Loss: 0.6006213426589966, Test Loss: 0.599717378616333
Epoch 53/6000, Train Loss: 0.5993627905845642, Test Loss: 0.5991185307502747
Epoch 54/6000, Train Loss: 0.5988010764122009, Test Loss: 0.5983888506889343
Epoch 55/6000, Train Loss: 0.5980104804039001, Test Loss: 0.5969913601875305
Epoch 56/6000, Train Loss: 0.5966624617576599, Test Loss: 0.5956403613090515
Epoch 57/6000, Train Loss: 0.5952751636505127, Test Loss: 0.594551146030426
Epoch 58/6000, Train Loss: 0.5941821932792664, Test Loss: 0.5937908887863159
Epoch 59/6000, Train Loss: 0.5934240221977234, Test Loss: 0.5936128497123718
Epoch 60/6000, Train Loss: 0.5932053327560425, Test Loss: 0.5947897434234619
Epoch 61/6000, Train Loss: 0.5944347977638245, Test Loss: 0.5985533595085144
Epoch 62/6000, Train Loss: 0.5980660915374756, Test Loss: 0.5952921509742737
Epoch 63/6000, Train Loss: 0.5949139595031738, Test Loss: 0.590214729309082
Epoch 64/6000, Train Loss: 0.5897380113601685, Test Loss: 0.5913329124450684
Epoch 65/6000, Train Loss: 0.5908212065696716, Test Loss: 0.5916775465011597
Epoch 66/6000, Train Loss: 0.5912428498268127, Test Loss: 0.5884665846824646
Epoch 67/6000, Train Loss: 0.587950587272644, Test Loss: 0.589131772518158
Epoch 68/6000, Train Loss: 0.5885850191116333, Test Loss: 0.5887585878372192
Epoch 69/6000, Train Loss: 0.588228702545166, Test Loss: 0.5866562724113464
Epoch 70/6000, Train Loss: 0.5860632061958313, Test Loss: 0.5872668027877808
Epoch 71/6000, Train Loss: 0.5866464972496033, Test Loss: 0.5863353610038757
Epoch 72/6000, Train Loss: 0.5856940746307373, Test Loss: 0.5849481225013733
Epoch 73/6000, Train Loss: 0.5842668414115906, Test Loss: 0.5852488875389099
Epoch 74/6000, Train Loss: 0.5845527648925781, Test Loss: 0.5844258069992065
Epoch 75/6000, Train Loss: 0.5837123990058899, Test Loss: 0.5831823348999023
Epoch 76/6000, Train Loss: 0.5824389457702637, Test Loss: 0.5830544829368591
Epoch 77/6000, Train Loss: 0.5822888016700745, Test Loss: 0.5829132795333862
Epoch 78/6000, Train Loss: 0.5821323394775391, Test Loss: 0.5820544958114624
Epoch 79/6000, Train Loss: 0.5812600255012512, Test Loss: 0.5809957385063171
Epoch 80/6000, Train Loss: 0.5801634192466736, Test Loss: 0.5804603695869446
Epoch 81/6000, Train Loss: 0.5796008110046387, Test Loss: 0.5803724527359009
Epoch 82/6000, Train Loss: 0.579521656036377, Test Loss: 0.5805842280387878
Epoch 83/6000, Train Loss: 0.5796539783477783, Test Loss: 0.5810602903366089
Epoch 84/6000, Train Loss: 0.5801815390586853, Test Loss: 0.5812517404556274
Epoch 85/6000, Train Loss: 0.5802742838859558, Test Loss: 0.5812365412712097
Epoch 86/6000, Train Loss: 0.5802955031394958, Test Loss: 0.5793492794036865
Epoch 87/6000, Train Loss: 0.5783042311668396, Test Loss: 0.577459990978241
Epoch 88/6000, Train Loss: 0.5764245986938477, Test Loss: 0.5768540501594543
Epoch 89/6000, Train Loss: 0.5757767558097839, Test Loss: 0.577454686164856
Epoch 90/6000, Train Loss: 0.5763378143310547, Test Loss: 0.5781574845314026
Epoch 91/6000, Train Loss: 0.577035129070282, Test Loss: 0.5774856805801392
Epoch 92/6000, Train Loss: 0.5763176679611206, Test Loss: 0.5761878490447998
Epoch 93/6000, Train Loss: 0.5749819874763489, Test Loss: 0.5749790668487549
Epoch 94/6000, Train Loss: 0.573739767074585, Test Loss: 0.574701189994812
Epoch 95/6000, Train Loss: 0.5734370946884155, Test Loss: 0.575122594833374
Epoch 96/6000, Train Loss: 0.5738322138786316, Test Loss: 0.5755742788314819
Epoch 97/6000, Train Loss: 0.5742697715759277, Test Loss: 0.5760623812675476
Epoch 98/6000, Train Loss: 0.5747292637825012, Test Loss: 0.5754696726799011
Epoch 99/6000, Train Loss: 0.5741252899169922, Test Loss: 0.5745570063591003
Epoch 100/6000, Train Loss: 0.5731459259986877, Test Loss: 0.5731276273727417
Epoch 101/6000, Train Loss: 0.5716883540153503, Test Loss: 0.572361409664154
Epoch 102/6000, Train Loss: 0.570869505405426, Test Loss: 0.5724149942398071
Epoch 103/6000, Train Loss: 0.5708848834037781, Test Loss: 0.5728649497032166
Epoch 104/6000, Train Loss: 0.571357011795044, Test Loss: 0.5735675692558289
Epoch 105/6000, Train Loss: 0.5720013380050659, Test Loss: 0.5736038684844971
Epoch 106/6000, Train Loss: 0.5720804333686829, Test Loss: 0.5733791589736938
Epoch 107/6000, Train Loss: 0.5717654824256897, Test Loss: 0.5719584822654724
Epoch 108/6000, Train Loss: 0.5703471302986145, Test Loss: 0.5707412362098694
Epoch 109/6000, Train Loss: 0.569033145904541, Test Loss: 0.5702575445175171
Epoch 110/6000, Train Loss: 0.568520188331604, Test Loss: 0.5705590844154358
Epoch 111/6000, Train Loss: 0.5688321590423584, Test Loss: 0.5712727904319763
Epoch 112/6000, Train Loss: 0.5694930553436279, Test Loss: 0.5715715885162354
Epoch 113/6000, Train Loss: 0.5698537230491638, Test Loss: 0.5717593431472778
Epoch 114/6000, Train Loss: 0.5699447393417358, Test Loss: 0.5707232356071472
Epoch 115/6000, Train Loss: 0.5689333081245422, Test Loss: 0.5695552229881287
Epoch 116/6000, Train Loss: 0.5676501393318176, Test Loss: 0.5685622692108154
Epoch 117/6000, Train Loss: 0.5666332244873047, Test Loss: 0.5683838725090027
Epoch 118/6000, Train Loss: 0.5664265751838684, Test Loss: 0.5688374638557434
Epoch 119/6000, Train Loss: 0.5668337345123291, Test Loss: 0.5693644881248474
Epoch 120/6000, Train Loss: 0.5674166083335876, Test Loss: 0.5701428055763245
Epoch 121/6000, Train Loss: 0.5681218504905701, Test Loss: 0.5700542330741882
Epoch 122/6000, Train Loss: 0.5681037306785583, Test Loss: 0.5696963667869568
Epoch 123/6000, Train Loss: 0.5676437616348267, Test Loss: 0.5680755376815796
Epoch 124/6000, Train Loss: 0.5660181045532227, Test Loss: 0.5668404698371887
Epoch 125/6000, Train Loss: 0.5646944046020508, Test Loss: 0.5665421485900879
Epoch 126/6000, Train Loss: 0.5643630027770996, Test Loss: 0.5670487284660339
Epoch 127/6000, Train Loss: 0.5648857355117798, Test Loss: 0.567848265171051
Epoch 128/6000, Train Loss: 0.5656559467315674, Test Loss: 0.5680240392684937
Epoch 129/6000, Train Loss: 0.56586754322052, Test Loss: 0.5678921341896057
Epoch 130/6000, Train Loss: 0.5656764507293701, Test Loss: 0.5667263865470886
Epoch 131/6000, Train Loss: 0.564491331577301, Test Loss: 0.5656259655952454
Epoch 132/6000, Train Loss: 0.5633120536804199, Test Loss: 0.5649462342262268
Epoch 133/6000, Train Loss: 0.5625910758972168, Test Loss: 0.5649452805519104
Epoch 134/6000, Train Loss: 0.5625715851783752, Test Loss: 0.5654595494270325
Epoch 135/6000, Train Loss: 0.5630711317062378, Test Loss: 0.5662177205085754
Epoch 136/6000, Train Loss: 0.563853919506073, Test Loss: 0.5675970911979675
Epoch 137/6000, Train Loss: 0.5652575492858887, Test Loss: 0.5682531595230103
Epoch 138/6000, Train Loss: 0.5659441351890564, Test Loss: 0.5683947801589966
Epoch 139/6000, Train Loss: 0.5660925507545471, Test Loss: 0.5654586553573608
Epoch 140/6000, Train Loss: 0.5630553364753723, Test Loss: 0.5634992718696594
Epoch 141/6000, Train Loss: 0.5609894394874573, Test Loss: 0.5641545653343201
Epoch 142/6000, Train Loss: 0.561669111251831, Test Loss: 0.5653743743896484
Epoch 143/6000, Train Loss: 0.5629680752754211, Test Loss: 0.5651038289070129
Epoch 144/6000, Train Loss: 0.5626451373100281, Test Loss: 0.5632026195526123
Epoch 145/6000, Train Loss: 0.5606631636619568, Test Loss: 0.5625772476196289
Epoch 146/6000, Train Loss: 0.5599784851074219, Test Loss: 0.5634047985076904
Epoch 147/6000, Train Loss: 0.5608152151107788, Test Loss: 0.5638429522514343
Epoch 148/6000, Train Loss: 0.5612656474113464, Test Loss: 0.5633023381233215
Epoch 149/6000, Train Loss: 0.5606628656387329, Test Loss: 0.5621258020401001
