[38;5;127mlibs[0m/[38;5;172mnvidia-cuda[0m/[38;5;67m11.2.0[0m/[38;5;68mbin[0m
 |
 [0;32mOK[0m
Sat Apr  6 17:45:28 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.154.05             Driver Version: 535.154.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off | 00000000:8A:00.0 Off |                    0 |
| N/A   31C    P0              35W / 250W |      0MiB / 40960MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Sizes:
Training
(2091200, 34)
Testing
(522800, 34)
Validation
(290000, 34)
Device: cuda
Epoch 1/6000, Train Loss: 0.7111721038818359, Test Loss: 0.697377622127533
Epoch 2/6000, Train Loss: 0.6933814287185669, Test Loss: 0.6958516240119934
Epoch 3/6000, Train Loss: 0.6807709336280823, Test Loss: 0.6940432786941528
Epoch 4/6000, Train Loss: 0.669291079044342, Test Loss: 0.6916362643241882
Epoch 5/6000, Train Loss: 0.6597070097923279, Test Loss: 0.6884291172027588
Epoch 6/6000, Train Loss: 0.6527760028839111, Test Loss: 0.6841537952423096
Epoch 7/6000, Train Loss: 0.6478385925292969, Test Loss: 0.6783217787742615
Epoch 8/6000, Train Loss: 0.6435844302177429, Test Loss: 0.671154797077179
Epoch 9/6000, Train Loss: 0.6396455764770508, Test Loss: 0.6636437773704529
Epoch 10/6000, Train Loss: 0.6362378001213074, Test Loss: 0.6564881205558777
Epoch 11/6000, Train Loss: 0.6331199407577515, Test Loss: 0.6500176191329956
Epoch 12/6000, Train Loss: 0.6302738785743713, Test Loss: 0.6443363428115845
Epoch 13/6000, Train Loss: 0.6278651356697083, Test Loss: 0.6393135190010071
Epoch 14/6000, Train Loss: 0.6255442500114441, Test Loss: 0.6347929835319519
Epoch 15/6000, Train Loss: 0.6236175894737244, Test Loss: 0.630527913570404
Epoch 16/6000, Train Loss: 0.6217368245124817, Test Loss: 0.6263871788978577
Epoch 17/6000, Train Loss: 0.6199766397476196, Test Loss: 0.6222609281539917
Epoch 18/6000, Train Loss: 0.6182896494865417, Test Loss: 0.6182477474212646
Epoch 19/6000, Train Loss: 0.6170488595962524, Test Loss: 0.6144708395004272
Epoch 20/6000, Train Loss: 0.6152173280715942, Test Loss: 0.611011266708374
Epoch 21/6000, Train Loss: 0.613824188709259, Test Loss: 0.6079733967781067
Epoch 22/6000, Train Loss: 0.6125641465187073, Test Loss: 0.6053439974784851
