Sizes:
Training
(2090880, 28)
Testing
(522720, 28)
Validation
(290400, 28)
Device: cuda
Epoch 1/2000, Train Loss: 0.692025363445282, Test Loss: 0.6918026208877563
Epoch 2/2000, Train Loss: 0.691802978515625, Test Loss: 0.6915984749794006
Epoch 3/2000, Train Loss: 0.6916000247001648, Test Loss: 0.6914130449295044
Epoch 4/2000, Train Loss: 0.6914172768592834, Test Loss: 0.6912423372268677
Epoch 5/2000, Train Loss: 0.6912487745285034, Test Loss: 0.6910818815231323
Epoch 6/2000, Train Loss: 0.6910907030105591, Test Loss: 0.6909269690513611
Epoch 7/2000, Train Loss: 0.6909373998641968, Test Loss: 0.6907727718353271
Epoch 8/2000, Train Loss: 0.6907860040664673, Test Loss: 0.6906154155731201
Epoch 9/2000, Train Loss: 0.6906311511993408, Test Loss: 0.6904520392417908
Epoch 10/2000, Train Loss: 0.6904703974723816, Test Loss: 0.6902828216552734
Epoch 11/2000, Train Loss: 0.6903025507926941, Test Loss: 0.6901060342788696
Epoch 12/2000, Train Loss: 0.6901276707649231, Test Loss: 0.6899234652519226
Epoch 13/2000, Train Loss: 0.6899466514587402, Test Loss: 0.689734935760498
Epoch 14/2000, Train Loss: 0.6897597908973694, Test Loss: 0.6895402669906616
Epoch 15/2000, Train Loss: 0.6895665526390076, Test Loss: 0.6893401145935059
Epoch 16/2000, Train Loss: 0.689368724822998, Test Loss: 0.6891345977783203
Epoch 17/2000, Train Loss: 0.6891645789146423, Test Loss: 0.688921332359314
Epoch 18/2000, Train Loss: 0.688953161239624, Test Loss: 0.6887001395225525
Epoch 19/2000, Train Loss: 0.6887339949607849, Test Loss: 0.6884695887565613
Epoch 20/2000, Train Loss: 0.6885036826133728, Test Loss: 0.6882290244102478
Epoch 21/2000, Train Loss: 0.6882636547088623, Test Loss: 0.6879754066467285
Epoch 22/2000, Train Loss: 0.6880114078521729, Test Loss: 0.6877110600471497
Epoch 23/2000, Train Loss: 0.6877476572990417, Test Loss: 0.687434196472168
Epoch 24/2000, Train Loss: 0.6874715089797974, Test Loss: 0.6871446967124939
Epoch 25/2000, Train Loss: 0.6871806979179382, Test Loss: 0.686842143535614
Epoch 26/2000, Train Loss: 0.6868769526481628, Test Loss: 0.6865269541740417
Epoch 27/2000, Train Loss: 0.6865607500076294, Test Loss: 0.6861972212791443
Epoch 28/2000, Train Loss: 0.6862294673919678, Test Loss: 0.6858527660369873
Epoch 29/2000, Train Loss: 0.6858824491500854, Test Loss: 0.6854928135871887
Epoch 30/2000, Train Loss: 0.6855197548866272, Test Loss: 0.6851149201393127
Epoch 31/2000, Train Loss: 0.6851402521133423, Test Loss: 0.684719443321228
Epoch 32/2000, Train Loss: 0.684741199016571, Test Loss: 0.6843064427375793
Epoch 33/2000, Train Loss: 0.6843244433403015, Test Loss: 0.6838758587837219
Epoch 34/2000, Train Loss: 0.6838878393173218, Test Loss: 0.6834273338317871
Epoch 35/2000, Train Loss: 0.6834334135055542, Test Loss: 0.6829593777656555
Epoch 36/2000, Train Loss: 0.6829599142074585, Test Loss: 0.6824729442596436
Epoch 37/2000, Train Loss: 0.6824663281440735, Test Loss: 0.68196702003479
Epoch 38/2000, Train Loss: 0.6819507479667664, Test Loss: 0.6814413070678711
Epoch 39/2000, Train Loss: 0.6814153790473938, Test Loss: 0.6808956861495972
Epoch 40/2000, Train Loss: 0.6808596849441528, Test Loss: 0.6803306937217712
Epoch 41/2000, Train Loss: 0.6802802085876465, Test Loss: 0.6797464489936829
Epoch 42/2000, Train Loss: 0.6796829104423523, Test Loss: 0.6791442632675171
Epoch 43/2000, Train Loss: 0.679064154624939, Test Loss: 0.6785249710083008
Epoch 44/2000, Train Loss: 0.6784278154373169, Test Loss: 0.6778885126113892
Epoch 45/2000, Train Loss: 0.6777715086936951, Test Loss: 0.6772373914718628
Epoch 46/2000, Train Loss: 0.6770989298820496, Test Loss: 0.676572322845459
Epoch 47/2000, Train Loss: 0.6764100790023804, Test Loss: 0.6758941411972046
Epoch 48/2000, Train Loss: 0.6757088899612427, Test Loss: 0.6752051711082458
Epoch 49/2000, Train Loss: 0.6749951243400574, Test Loss: 0.6745076775550842
Epoch 50/2000, Train Loss: 0.6742722988128662, Test Loss: 0.6738012433052063
Epoch 51/2000, Train Loss: 0.6735415458679199, Test Loss: 0.6730888485908508
Epoch 52/2000, Train Loss: 0.6728047728538513, Test Loss: 0.6723722815513611
Epoch 53/2000, Train Loss: 0.6720632910728455, Test Loss: 0.6716510653495789
Epoch 54/2000, Train Loss: 0.6713193655014038, Test Loss: 0.6709274053573608
Epoch 55/2000, Train Loss: 0.6705740690231323, Test Loss: 0.6702005863189697
Epoch 56/2000, Train Loss: 0.6698288321495056, Test Loss: 0.6694733500480652
Epoch 57/2000, Train Loss: 0.6690852642059326, Test Loss: 0.6687458157539368
Epoch 58/2000, Train Loss: 0.668344259262085, Test Loss: 0.6680203676223755
Epoch 59/2000, Train Loss: 0.6676082015037537, Test Loss: 0.6672976016998291
Epoch 60/2000, Train Loss: 0.6668761968612671, Test Loss: 0.6665797233581543
Epoch 61/2000, Train Loss: 0.6661498546600342, Test Loss: 0.6658666133880615
Epoch 62/2000, Train Loss: 0.6654314994812012, Test Loss: 0.6651609539985657
Epoch 63/2000, Train Loss: 0.6647200584411621, Test Loss: 0.664461612701416
