[38;5;127mlibs[0m/[38;5;172mnvidia-cuda[0m/[38;5;67m11.2.0[0m/[38;5;68mbin[0m
 |
 [0;32mOK[0m
Wed Apr  3 11:35:52 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.154.05             Driver Version: 535.154.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off | 00000000:C2:00.0 Off |                    0 |
| N/A   31C    P0              36W / 250W |      0MiB / 40960MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Sizes:
Training
(2091200, 34)
Testing
(522800, 34)
Validation
(290000, 34)
Device: cuda
Epoch 1/6000, Train Loss: 0.6966531276702881, Test Loss: 0.6941359043121338
Epoch 2/6000, Train Loss: 0.6941255927085876, Test Loss: 0.6917104125022888
Epoch 3/6000, Train Loss: 0.6917182803153992, Test Loss: 0.6901448369026184
Epoch 4/6000, Train Loss: 0.6908032894134521, Test Loss: 0.6878531575202942
Epoch 5/6000, Train Loss: 0.6884413957595825, Test Loss: 0.6858882308006287
Epoch 6/6000, Train Loss: 0.6863518357276917, Test Loss: 0.6827857494354248
Epoch 7/6000, Train Loss: 0.6833623051643372, Test Loss: 0.6779123544692993
Epoch 8/6000, Train Loss: 0.6790571212768555, Test Loss: 0.6740259528160095
Epoch 9/6000, Train Loss: 0.6758605241775513, Test Loss: 0.6703575253486633
Epoch 10/6000, Train Loss: 0.6717575788497925, Test Loss: 0.6682735085487366
Epoch 11/6000, Train Loss: 0.6692482233047485, Test Loss: 0.6641607284545898
Epoch 12/6000, Train Loss: 0.6658657789230347, Test Loss: 0.6618199348449707
Epoch 13/6000, Train Loss: 0.6641882658004761, Test Loss: 0.6601126790046692
Epoch 14/6000, Train Loss: 0.6616495251655579, Test Loss: 0.6577368378639221
Epoch 15/6000, Train Loss: 0.659314751625061, Test Loss: 0.6533624529838562
Epoch 16/6000, Train Loss: 0.6562895774841309, Test Loss: 0.6492277979850769
