[38;5;127mlibs[0m/[38;5;172mnvidia-cuda[0m/[38;5;67m11.2.0[0m/[38;5;68mbin[0m
 |
 [0;32mOK[0m
Tue Apr  2 23:55:12 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.154.05             Driver Version: 535.154.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off | 00000000:12:00.0 Off |                    0 |
| N/A   29C    P0              34W / 250W |      0MiB / 40960MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Sizes:
Training
(2091200, 34)
Testing
(522800, 34)
Validation
(290000, 34)
Device: cuda
Epoch 1/6000, Train Loss: 0.6921234726905823, Test Loss: 0.691244900226593
Epoch 2/6000, Train Loss: 0.6912581920623779, Test Loss: 0.6893833875656128
Epoch 3/6000, Train Loss: 0.6895718574523926, Test Loss: 0.6856515407562256
Epoch 4/6000, Train Loss: 0.6860758662223816, Test Loss: 0.6788973808288574
Epoch 5/6000, Train Loss: 0.6796465516090393, Test Loss: 0.6690932512283325
Epoch 6/6000, Train Loss: 0.6702969074249268, Test Loss: 0.6621523499488831
Epoch 7/6000, Train Loss: 0.6633440852165222, Test Loss: 0.6746380925178528
Epoch 8/6000, Train Loss: 0.6762070655822754, Test Loss: 0.6574239134788513
Epoch 9/6000, Train Loss: 0.6587839722633362, Test Loss: 0.6606827974319458
Epoch 10/6000, Train Loss: 0.6619603633880615, Test Loss: 0.6478677988052368
Epoch 11/6000, Train Loss: 0.6500237584114075, Test Loss: 0.6544222235679626
Epoch 12/6000, Train Loss: 0.6565148234367371, Test Loss: 0.6455539464950562
Epoch 13/6000, Train Loss: 0.6478420495986938, Test Loss: 0.6436801552772522
Epoch 14/6000, Train Loss: 0.6459198594093323, Test Loss: 0.6454435586929321
Epoch 15/6000, Train Loss: 0.6476973295211792, Test Loss: 0.6385525465011597
Epoch 16/6000, Train Loss: 0.6411241292953491, Test Loss: 0.637580931186676
Epoch 17/6000, Train Loss: 0.6400362253189087, Test Loss: 0.638433039188385
Epoch 18/6000, Train Loss: 0.6409511566162109, Test Loss: 0.633499801158905
Epoch 19/6000, Train Loss: 0.6361715793609619, Test Loss: 0.6320540904998779
Epoch 20/6000, Train Loss: 0.6350614428520203, Test Loss: 0.6327553391456604
Epoch 21/6000, Train Loss: 0.6357260346412659, Test Loss: 0.628778338432312
Epoch 22/6000, Train Loss: 0.6317927241325378, Test Loss: 0.6283164024353027
Epoch 23/6000, Train Loss: 0.6312346458435059, Test Loss: 0.6284147500991821
Epoch 24/6000, Train Loss: 0.6313103437423706, Test Loss: 0.6252152323722839
Epoch 25/6000, Train Loss: 0.6283124685287476, Test Loss: 0.6246293783187866
Epoch 26/6000, Train Loss: 0.6278219223022461, Test Loss: 0.6241663098335266
Epoch 27/6000, Train Loss: 0.6275275945663452, Test Loss: 0.6215540766716003
Epoch 28/6000, Train Loss: 0.6248024702072144, Test Loss: 0.6215275526046753
Epoch 29/6000, Train Loss: 0.6247252821922302, Test Loss: 0.6204557418823242
Epoch 30/6000, Train Loss: 0.623752236366272, Test Loss: 0.6183575391769409
Epoch 31/6000, Train Loss: 0.6217543482780457, Test Loss: 0.6182805299758911
Epoch 32/6000, Train Loss: 0.6219065189361572, Test Loss: 0.616722822189331
Epoch 33/6000, Train Loss: 0.6202968955039978, Test Loss: 0.6156541109085083
Epoch 34/6000, Train Loss: 0.6192020177841187, Test Loss: 0.6153683066368103
Epoch 35/6000, Train Loss: 0.618894636631012, Test Loss: 0.6135852336883545
Epoch 36/6000, Train Loss: 0.6172577738761902, Test Loss: 0.6131314635276794
Epoch 37/6000, Train Loss: 0.6169144511222839, Test Loss: 0.611919641494751
Epoch 38/6000, Train Loss: 0.6156965494155884, Test Loss: 0.6110036373138428
Epoch 39/6000, Train Loss: 0.6146878004074097, Test Loss: 0.6104264259338379
Epoch 40/6000, Train Loss: 0.6140774488449097, Test Loss: 0.6089049577713013
Epoch 41/6000, Train Loss: 0.6128095388412476, Test Loss: 0.6083454489707947
Epoch 42/6000, Train Loss: 0.6124653816223145, Test Loss: 0.6069968938827515
Epoch 43/6000, Train Loss: 0.6109806895256042, Test Loss: 0.606567919254303
Epoch 44/6000, Train Loss: 0.6105372905731201, Test Loss: 0.6050992608070374
Epoch 45/6000, Train Loss: 0.6092483401298523, Test Loss: 0.6042652726173401
Epoch 46/6000, Train Loss: 0.6085638403892517, Test Loss: 0.6029782891273499
Epoch 47/6000, Train Loss: 0.607365608215332, Test Loss: 0.6024324297904968
Epoch 48/6000, Train Loss: 0.6065889596939087, Test Loss: 0.6008614897727966
Epoch 49/6000, Train Loss: 0.6053094267845154, Test Loss: 0.5999507904052734
Epoch 50/6000, Train Loss: 0.6045790910720825, Test Loss: 0.5988290309906006
Epoch 51/6000, Train Loss: 0.6035033464431763, Test Loss: 0.5978929400444031
Epoch 52/6000, Train Loss: 0.6025654077529907, Test Loss: 0.5967027544975281
Epoch 53/6000, Train Loss: 0.6018436551094055, Test Loss: 0.5955824851989746
Epoch 54/6000, Train Loss: 0.6006736755371094, Test Loss: 0.5950064063072205
Epoch 55/6000, Train Loss: 0.6001286506652832, Test Loss: 0.5938149094581604
Epoch 56/6000, Train Loss: 0.5992188453674316, Test Loss: 0.5928779244422913
Epoch 57/6000, Train Loss: 0.5982575416564941, Test Loss: 0.5923608541488647
Epoch 58/6000, Train Loss: 0.5977009534835815, Test Loss: 0.591295599937439
Epoch 59/6000, Train Loss: 0.5968419909477234, Test Loss: 0.5903477668762207
Epoch 60/6000, Train Loss: 0.5957832336425781, Test Loss: 0.589580237865448
Epoch 61/6000, Train Loss: 0.5951496958732605, Test Loss: 0.5886959433555603
Epoch 62/6000, Train Loss: 0.5943185091018677, Test Loss: 0.5878862738609314
Epoch 63/6000, Train Loss: 0.5934284329414368, Test Loss: 0.5869037508964539
Epoch 64/6000, Train Loss: 0.5926346778869629, Test Loss: 0.586142897605896
Epoch 65/6000, Train Loss: 0.5917927622795105, Test Loss: 0.585487961769104
Epoch 66/6000, Train Loss: 0.5911949872970581, Test Loss: 0.5845080614089966
Epoch 67/6000, Train Loss: 0.5903279185295105, Test Loss: 0.5837005972862244
Epoch 68/6000, Train Loss: 0.5895614624023438, Test Loss: 0.5830551981925964
Epoch 69/6000, Train Loss: 0.5889840126037598, Test Loss: 0.5823814272880554
Epoch 70/6000, Train Loss: 0.5883346199989319, Test Loss: 0.5817945003509521
Epoch 71/6000, Train Loss: 0.587729811668396, Test Loss: 0.5810330510139465
Epoch 72/6000, Train Loss: 0.5868527889251709, Test Loss: 0.5802980661392212
Epoch 73/6000, Train Loss: 0.5862794518470764, Test Loss: 0.5795861482620239
Epoch 74/6000, Train Loss: 0.5855194330215454, Test Loss: 0.5789735913276672
Epoch 75/6000, Train Loss: 0.5850105285644531, Test Loss: 0.5783939957618713
Epoch 76/6000, Train Loss: 0.5843221545219421, Test Loss: 0.5778355002403259
Epoch 77/6000, Train Loss: 0.583751916885376, Test Loss: 0.577268660068512
Epoch 78/6000, Train Loss: 0.5832024812698364, Test Loss: 0.576750636100769
Epoch 79/6000, Train Loss: 0.5826188325881958, Test Loss: 0.5762757062911987
Epoch 80/6000, Train Loss: 0.5821651816368103, Test Loss: 0.5759019255638123
Epoch 81/6000, Train Loss: 0.5817828178405762, Test Loss: 0.5754784345626831
Epoch 82/6000, Train Loss: 0.5812353491783142, Test Loss: 0.5748798251152039
Epoch 83/6000, Train Loss: 0.5805935859680176, Test Loss: 0.5741414427757263
Epoch 84/6000, Train Loss: 0.5797933340072632, Test Loss: 0.5734732747077942
Epoch 85/6000, Train Loss: 0.5791518688201904, Test Loss: 0.5731297731399536
Epoch 86/6000, Train Loss: 0.5786994099617004, Test Loss: 0.5728174448013306
Epoch 87/6000, Train Loss: 0.5785920023918152, Test Loss: 0.57224440574646
Epoch 88/6000, Train Loss: 0.5780009627342224, Test Loss: 0.5716255307197571
Epoch 89/6000, Train Loss: 0.5772566199302673, Test Loss: 0.5710093975067139
Epoch 90/6000, Train Loss: 0.5766801834106445, Test Loss: 0.5705286264419556
Epoch 91/6000, Train Loss: 0.5762037038803101, Test Loss: 0.5701515078544617
Epoch 92/6000, Train Loss: 0.5757592916488647, Test Loss: 0.5697664618492126
Epoch 93/6000, Train Loss: 0.5755663514137268, Test Loss: 0.5693197250366211
Epoch 94/6000, Train Loss: 0.5749662518501282, Test Loss: 0.5687722563743591
Epoch 95/6000, Train Loss: 0.5745013952255249, Test Loss: 0.568263828754425
Epoch 96/6000, Train Loss: 0.5738911032676697, Test Loss: 0.5677388310432434
Epoch 97/6000, Train Loss: 0.5733067989349365, Test Loss: 0.5672407746315002
Epoch 98/6000, Train Loss: 0.5726838111877441, Test Loss: 0.5667783617973328
Epoch 99/6000, Train Loss: 0.5723884701728821, Test Loss: 0.5663335919380188
Epoch 100/6000, Train Loss: 0.5719020962715149, Test Loss: 0.5658872723579407
Epoch 101/6000, Train Loss: 0.5713752508163452, Test Loss: 0.5654581189155579
Epoch 102/6000, Train Loss: 0.5709964632987976, Test Loss: 0.5650996565818787
Epoch 103/6000, Train Loss: 0.5705956816673279, Test Loss: 0.5649765133857727
Epoch 104/6000, Train Loss: 0.5705887079238892, Test Loss: 0.5655829906463623
Epoch 105/6000, Train Loss: 0.5710075497627258, Test Loss: 0.5671550035476685
Epoch 106/6000, Train Loss: 0.5725072026252747, Test Loss: 0.5674969553947449
Epoch 107/6000, Train Loss: 0.5726335644721985, Test Loss: 0.5639222860336304
Epoch 108/6000, Train Loss: 0.5690100789070129, Test Loss: 0.5648252964019775
Epoch 109/6000, Train Loss: 0.5699937343597412, Test Loss: 0.5652608871459961
Epoch 110/6000, Train Loss: 0.5701127648353577, Test Loss: 0.5629762411117554
