[38;5;127mlibs[0m/[38;5;172mnvidia-cuda[0m/[38;5;67m11.2.0[0m/[38;5;68mbin[0m
 |
 [0;32mOK[0m
Sun Apr  7 20:07:31 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.154.05             Driver Version: 535.154.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off | 00000000:12:00.0 Off |                    0 |
| N/A   29C    P0              34W / 250W |      0MiB / 40960MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Sizes:
Training
(2091200, 34)
Testing
(522800, 34)
Validation
(290000, 34)
Device: cuda
Epoch 1/4000, Train Loss: 0.6912698149681091, Test Loss: 0.687334418296814
Epoch 2/4000, Train Loss: 0.6872818470001221, Test Loss: 0.6832601428031921
Epoch 3/4000, Train Loss: 0.6832197904586792, Test Loss: 0.678676962852478
Epoch 4/4000, Train Loss: 0.6786466240882874, Test Loss: 0.6735924482345581
Epoch 5/4000, Train Loss: 0.6735497117042542, Test Loss: 0.6681393384933472
Epoch 6/4000, Train Loss: 0.6680665612220764, Test Loss: 0.6625311970710754
Epoch 7/4000, Train Loss: 0.6624079346656799, Test Loss: 0.6570321321487427
Epoch 8/4000, Train Loss: 0.6568444967269897, Test Loss: 0.651891827583313
Epoch 9/4000, Train Loss: 0.6516509652137756, Test Loss: 0.6473032832145691
Epoch 10/4000, Train Loss: 0.6470290422439575, Test Loss: 0.6433857083320618
Epoch 11/4000, Train Loss: 0.6431007385253906, Test Loss: 0.6401113271713257
Epoch 12/4000, Train Loss: 0.6398491263389587, Test Loss: 0.6373241543769836
Epoch 13/4000, Train Loss: 0.6371051669120789, Test Loss: 0.6348246932029724
Epoch 14/4000, Train Loss: 0.6346756219863892, Test Loss: 0.6324037313461304
Epoch 15/4000, Train Loss: 0.6323216557502747, Test Loss: 0.6299903988838196
Epoch 16/4000, Train Loss: 0.6299352049827576, Test Loss: 0.6277891397476196
