[38;5;127mlibs[0m/[38;5;172mnvidia-cuda[0m/[38;5;67m11.2.0[0m/[38;5;68mbin[0m
 |
 [0;32mOK[0m
Thu Apr  4 13:19:50 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.154.05             Driver Version: 535.154.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off | 00000000:49:00.0 Off |                    0 |
| N/A   29C    P0              35W / 250W |      0MiB / 40960MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Sizes:
Training
(2091200, 34)
Testing
(522800, 34)
Validation
(290000, 34)
Device: cuda
Epoch 1/6000, Train Loss: 0.7459580898284912, Test Loss: 0.7544967532157898
Epoch 2/6000, Train Loss: 0.7632123231887817, Test Loss: 0.6951632499694824
Epoch 3/6000, Train Loss: 0.7243707180023193, Test Loss: 0.6920357346534729
Epoch 4/6000, Train Loss: 0.7053398489952087, Test Loss: 0.690710186958313
Epoch 5/6000, Train Loss: 0.7038770914077759, Test Loss: 0.6824432015419006
Epoch 6/6000, Train Loss: 0.6920953989028931, Test Loss: 0.6792442202568054
Epoch 7/6000, Train Loss: 0.6864011883735657, Test Loss: 0.675559401512146
Epoch 8/6000, Train Loss: 0.6837960481643677, Test Loss: 0.6706966161727905
Epoch 9/6000, Train Loss: 0.6799972653388977, Test Loss: 0.6651995182037354
Epoch 10/6000, Train Loss: 0.6747611165046692, Test Loss: 0.6604779362678528
Epoch 11/6000, Train Loss: 0.6695478558540344, Test Loss: 0.6574811339378357
Epoch 12/6000, Train Loss: 0.6662487983703613, Test Loss: 0.6539726853370667
Epoch 13/6000, Train Loss: 0.66324782371521, Test Loss: 0.6491330862045288
Epoch 14/6000, Train Loss: 0.6597475409507751, Test Loss: 0.6462728977203369
Epoch 15/6000, Train Loss: 0.6573392748832703, Test Loss: 0.6445617079734802
Epoch 16/6000, Train Loss: 0.6554809212684631, Test Loss: 0.6422070264816284
Epoch 17/6000, Train Loss: 0.6527200937271118, Test Loss: 0.6406242251396179
Epoch 18/6000, Train Loss: 0.6504294872283936, Test Loss: 0.639560341835022
Epoch 19/6000, Train Loss: 0.6487399339675903, Test Loss: 0.6377815008163452
Epoch 20/6000, Train Loss: 0.6467124223709106, Test Loss: 0.6361672878265381
Epoch 21/6000, Train Loss: 0.6449979543685913, Test Loss: 0.6351964473724365
Epoch 22/6000, Train Loss: 0.6436607241630554, Test Loss: 0.6342241168022156
Epoch 23/6000, Train Loss: 0.6423482298851013, Test Loss: 0.6331741213798523
Epoch 24/6000, Train Loss: 0.641149640083313, Test Loss: 0.6322832703590393
Epoch 25/6000, Train Loss: 0.639809250831604, Test Loss: 0.6311458349227905
Epoch 26/6000, Train Loss: 0.6386895179748535, Test Loss: 0.6294218897819519
Epoch 27/6000, Train Loss: 0.6373353600502014, Test Loss: 0.6276912093162537
Epoch 28/6000, Train Loss: 0.6362085342407227, Test Loss: 0.6263602375984192
Epoch 29/6000, Train Loss: 0.6352478861808777, Test Loss: 0.6252021193504333
Epoch 30/6000, Train Loss: 0.6341700553894043, Test Loss: 0.6242920756340027
Epoch 31/6000, Train Loss: 0.6328971982002258, Test Loss: 0.6235967874526978
