[38;5;127mlibs[0m/[38;5;172mnvidia-cuda[0m/[38;5;67m11.2.0[0m/[38;5;68mbin[0m
 |
 [0;32mOK[0m
Wed Apr  3 13:10:22 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.154.05             Driver Version: 535.154.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off | 00000000:C2:00.0 Off |                    0 |
| N/A   31C    P0              35W / 250W |      0MiB / 40960MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Sizes:
Training
(2091200, 34)
Testing
(522800, 34)
Validation
(290000, 34)
Device: cuda
Epoch 1/6000, Train Loss: 0.6953570246696472, Test Loss: 0.689970850944519
Epoch 2/6000, Train Loss: 0.6939718127250671, Test Loss: 0.6885947585105896
Epoch 3/6000, Train Loss: 0.6890710592269897, Test Loss: 0.6865498423576355
Epoch 4/6000, Train Loss: 0.6868539452552795, Test Loss: 0.6791354417800903
Epoch 5/6000, Train Loss: 0.6806685328483582, Test Loss: 0.6682158708572388
Epoch 6/6000, Train Loss: 0.6714627742767334, Test Loss: 0.6590469479560852
Epoch 7/6000, Train Loss: 0.6640830039978027, Test Loss: 0.6532323360443115
Epoch 8/6000, Train Loss: 0.6587684750556946, Test Loss: 0.6482760310173035
Epoch 9/6000, Train Loss: 0.6542118787765503, Test Loss: 0.6445572972297668
Epoch 10/6000, Train Loss: 0.6513326168060303, Test Loss: 0.6410830020904541
Epoch 11/6000, Train Loss: 0.6478773951530457, Test Loss: 0.6376321911811829
Epoch 12/6000, Train Loss: 0.6443654298782349, Test Loss: 0.6357299089431763
Epoch 13/6000, Train Loss: 0.6423388719558716, Test Loss: 0.6336096525192261
Epoch 14/6000, Train Loss: 0.6397815942764282, Test Loss: 0.6322385668754578
Epoch 15/6000, Train Loss: 0.6378059983253479, Test Loss: 0.6302680969238281
Epoch 16/6000, Train Loss: 0.6354315280914307, Test Loss: 0.628277063369751
Epoch 17/6000, Train Loss: 0.6334936618804932, Test Loss: 0.625757098197937
Epoch 18/6000, Train Loss: 0.6312606334686279, Test Loss: 0.6233272552490234
Epoch 19/6000, Train Loss: 0.6293706297874451, Test Loss: 0.6211420297622681
Epoch 20/6000, Train Loss: 0.6274007558822632, Test Loss: 0.6195727586746216
Epoch 21/6000, Train Loss: 0.6260232925415039, Test Loss: 0.6182317137718201
Epoch 22/6000, Train Loss: 0.6247498393058777, Test Loss: 0.6168074011802673
Epoch 23/6000, Train Loss: 0.623296320438385, Test Loss: 0.6152219176292419
Epoch 24/6000, Train Loss: 0.6215564012527466, Test Loss: 0.6138992309570312
Epoch 25/6000, Train Loss: 0.6199536323547363, Test Loss: 0.6127752661705017
